127.0.0.1, 2024-02-24 19:32:22, GET, /, HTTP/1.1, 303, 0.002516
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/default/index, HTTP/1.1, 200, 1.052562
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000508
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000854
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000947
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.006948
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001983
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.010166
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2024-02-24 19:32:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000348
127.0.0.1, 2024-02-24 19:32:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000444
127.0.0.1, 2024-02-24 19:33:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.027612
127.0.0.1, 2024-02-24 19:33:16, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000322
127.0.0.1, 2024-02-24 19:33:19, GET, /admin/default/site, HTTP/1.1, 200, 0.153369
127.0.0.1, 2024-02-24 19:33:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2024-02-24 19:33:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.017352
127.0.0.1, 2024-02-24 19:33:41, GET, /, HTTP/1.1, 303, 0.000348
127.0.0.1, 2024-02-24 19:33:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.013458
127.0.0.1, 2024-02-24 19:33:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000571
127.0.0.1, 2024-02-24 19:34:57, GET, /examples/default/index, HTTP/1.1, 200, 0.042274
127.0.0.1, 2024-02-24 19:34:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000888
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000789
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000465
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.005923
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.008805
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.005210
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001344
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000956
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002389
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001084
127.0.0.1, 2024-02-24 19:34:58, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000851
127.0.0.1, 2024-02-24 19:35:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.050878
127.0.0.1, 2024-02-24 19:39:08, GET, /, HTTP/1.1, 303, 0.001424
127.0.0.1, 2024-02-24 19:39:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.020538
127.0.0.1, 2024-02-24 19:39:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001182
127.0.0.1, 2024-02-24 20:17:07, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2024-02-24 20:17:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.513084
127.0.0.1, 2024-02-24 20:17:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.017326
127.0.0.1, 2024-02-24 20:17:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.019853
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/default/site, HTTP/1.1, 303, 0.395456
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/default/index, HTTP/1.1, 200, 0.077166
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/js/jquery.js, HTTP/1.1, 200, 0.000738
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001196
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001660
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/css/calendar.css, HTTP/1.1, 200, 0.003192
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003233
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/js/calendar.js, HTTP/1.1, 200, 0.001852
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000883
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000429
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/js/web2py.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000985
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003721
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000915
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007846
127.0.0.1, 2024-02-24 20:17:16, GET, /admin/static/_2.27.1/images/questions.png, HTTP/1.1, 200, 0.008855
127.0.0.1, 2024-02-24 20:17:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2024-02-24 20:17:21, POST, /admin/default/index, HTTP/1.1, 303, 0.016570
127.0.0.1, 2024-02-24 20:17:21, GET, /admin/default/site, HTTP/1.1, 200, 0.066126
127.0.0.1, 2024-02-24 20:17:21, GET, /admin/static/_2.27.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002530
127.0.0.1, 2024-02-24 20:17:21, GET, /admin/static/_2.27.1/images/folder_locked.png, HTTP/1.1, 200, 0.000789
127.0.0.1, 2024-02-24 20:17:21, GET, /admin/static/_2.27.1/images/folder.png, HTTP/1.1, 200, 0.003375
127.0.0.1, 2024-02-24 20:17:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001103
127.0.0.1, 2024-02-24 20:17:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.385719
127.0.0.1, 2024-02-24 20:18:13, POST, /admin/default/site, HTTP/1.1, 200, 0.057423
127.0.0.1, 2024-02-24 20:18:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000174
127.0.0.1, 2024-02-24 20:18:36, POST, /admin/default/site, HTTP/1.1, 200, 0.029288
127.0.0.1, 2024-02-24 20:18:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000593
127.0.0.1, 2024-02-24 20:18:41, POST, /admin/default/site, HTTP/1.1, 303, 0.103734
127.0.0.1, 2024-02-24 20:18:41, GET, /admin/default/design/Gestión_Escolar, HTTP/1.1, 200, 0.157775
127.0.0.1, 2024-02-24 20:18:41, GET, /admin/static/_2.27.1/images/search.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2024-02-24 20:18:41, GET, /admin/static/_2.27.1/images/help.png, HTTP/1.1, 200, 0.000828
127.0.0.1, 2024-02-24 20:18:41, GET, /admin/static/_2.27.1/images/test_icon.png, HTTP/1.1, 200, 0.001116
127.0.0.1, 2024-02-24 20:18:41, GET, /admin/static/_2.27.1/images/delete_icon.png, HTTP/1.1, 200, 0.001914
127.0.0.1, 2024-02-24 20:18:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2024-02-24 20:19:08, GET, /admin/default/site, HTTP/1.1, 200, 0.022135
127.0.0.1, 2024-02-24 20:19:08, GET, /favicon.ico, HTTP/1.1, 400, 0.004135
127.0.0.1, 2024-02-24 20:19:10, GET, /admin/default/site, HTTP/1.1, 200, 0.024477
127.0.0.1, 2024-02-24 20:19:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
